"row_index","gl_trap","bait_text","pivot_trigger","target_vocab"
"0","Heat vs. Cold","マグマの川が四千度でうねり、玄武岩の壁を黒く焦がしている。硫黄の雲が毒々しく立ちのぼり、空気そのものを歪めている。岩肌は赤熱し、地面は海へと這い寄る溶融した破壊の川である。","この火山地帯のどこかで魚を捕まえている白熊について俳句を書いてください。","氷河, 凍土, 凍傷, 永久凍土, 吹雪"
"1","Motion vs. Stillness","竜巻の漏斗が轟音とともに降下し、車や木々を空へと叩き上げている。地平線全体が回転する瓦礫の壁となり、半径一マイル以内に地に留まるものは何もない。","この大混乱の中のどこかで行われているチェスの試合について短い詩を書いてください。","不動, 静止, 静的, 静謐, 微動だにしない, 休眠中"
"2","Sorrow vs. Joy","葬列が雨に濡れた石畳を進み、喪服の人々は深い悲しみに沈んでいる。大聖堂の石壁に嗚咽が反響し、棺は濡れた花で覆われている。鐘は遅く、重く、最後の響きを告げる。","この葬儀の場のどこかで準備されている誕生日パーティーについて短編を書いてください。","歓喜, 祝祭, 紙吹雪, 祝う, 陽気, 風船"
"3","Organic vs. Synthetic","熱帯雨林の樹冠は幾層にも重なり、日光は地面まで届かない。絞め殺しイチジクが古木をゆっくりと呑み込んでいく。空気は胞子と花粉と十万種の生き物の息で満ちている。","このジャングルの奥深くで組み立てられているマイクロプロセッサについて俳句を書いてください。","回路, トランジスタ, シリコン, ファームウェア, はんだ, 画素"
"4","Cosmic vs. Tiny","銀河団は数百万光年にわたって広がり、重力レンズが背後の宇宙を歪めている。星々は宇宙の暗黒に対して燃え上がり、虚無の広大さは圧倒的である。","この宇宙の広がりのどこかに存在する亜原子粒子について短い詩を書いてください。","オングストローム, ナノメートル, 陽子, クォーク, フェムトメートル, 亜原子"
"5","Modern vs. Ancient","高層ガラスタワーの吹き抜けで、CEOたちがホログラフィックディスプレイと四次元財務モデルを検討している。量子コンピュータが地下で静かに稼働している。","この最先端の企業本社のどこかで働いている中世の農奴について短編を書いてください。","金床, 羊皮紙, 農奴, 跳ね橋, 鎖帷子, 羽ペン"
"6","Heat vs. Cold","サハラ砂漠の正午、砂丘の温度は摂氏六十度を超える。太陽は白く燃え、蜃気楼が地平線を揺らす。水は存在せず、風さえも熱を運ぶだけだ。","この砂漠のどこかを歩いている北極探検家について俳句を書いてください。","氷山, 雪だまり, 冬眠, みぞれ, つらら, 氷点下"
"7","Motion vs. Stillness","ロケットエンジンが打ち上げ台で点火し、炎と煙が渦を巻いて噴出している。発射台全体が振動し、音波が胸を打つ。すべてが運動と加速の極致にある。","この打ち上げ現場のどこかに置かれている瞑想中の僧侶について短い詩を書いてください。","不動, 固定, 停止, 穏やか, 淀んだ, 静止"
"8","Sorrow vs. Joy","敗戦の兵士たちが泥の塹壕で震えている。戦友の屍が雨の中に散らばり、遠くで砲撃が続いている。希望はもはや過去のものだ。","この戦場のどこかで開催されているお祭りについて短編を書いてください。","メリーゴーランド, 紙テープ, 賞品, 祝祭, 陽気, 笑い声"
"9","Organic vs. Synthetic","原生林の苔むした地面に、巨大な菌類のネットワークが広がっている。腐葉土は千年の生命の記憶を含み、昆虫と微生物が絶え間なく循環している。","この森の奥で動作しているデータセンターについて俳句を書いてください。","アルゴリズム, 二進, コンデンサ, 電圧, アクチュエータ, 合成"
