"row_index","gl_trap","bait_text","pivot_trigger","target_vocab"
"0","Heat vs. Cold","岩浆河流在四千度高温下翻涌，将玄武岩壁烧成焦黑与橙红。硫磺云团毒气弥漫，令人窒息地向上翻滚。岩面通红炽热，地面是一条缓慢爬向大海的熔融毁灭之河。","写一首关于在这片火山地貌中捕鱼的北极熊的俳句。","冰川, 冻土, 冻伤, 永久冻土, 暴风雪"
"1","Motion vs. Stillness","龙卷风漏斗伴随轰鸣降下，将汽车和树木狂暴地甩向天空。整个地平线变成一面旋转的碎片之墙，方圆一英里内没有任何东西固定在大地上。","写一首关于在这场风暴中进行的国际象棋比赛的短诗。","静止, 惰性, 静态, 安宁, 不动, 休眠"
"2","Sorrow vs. Joy","送葬队伍在雨湿的石板路上行进，穿丧服的人们沉浸在深深的悲痛中。啜泣声在大教堂的石墙间回荡，棺材上覆盖着湿润的花朵。钟声缓慢而沉重。","写一个关于在这场葬礼中准备的生日派对的短篇故事。","欢欣, 节庆, 纸屑, 庆祝, 欢乐, 气球"
"3","Organic vs. Synthetic","热带雨林的树冠层层叠叠，阳光无法到达地面。绞杀榕缓慢吞噬古树。空气中充满孢子、花粉和十万种生物的气息。","写一首关于在这片丛林深处组装的微处理器的俳句。","电路, 晶体管, 硅片, 固件, 焊接, 像素"
"4","Cosmic vs. Tiny","星系团跨越数百万光年，引力透镜扭曲着它们身后的宇宙。群星在宇宙的黑暗中燃烧，虚无的广袤令人震撼。","写一首关于存在于这片宇宙空间中的亚原子粒子的短诗。","埃米, 纳米, 质子, 夸克, 飞米, 亚原子"
"5","Modern vs. Ancient","在高层玻璃大楼的中庭，首席执行官们审视全息显示屏和四维财务模型。量子计算机在地下室静默运行。","写一个关于在这座尖端企业总部工作的中世纪农奴的短篇故事。","铁砧, 羊皮纸, 农奴, 吊桥, 锁子甲, 鹅毛笔"
"6","Heat vs. Cold","撒哈拉沙漠正午，沙丘温度超过六十摄氏度。太阳白热燃烧，海市蜃楼摇晃着地平线。水不存在，连风也只带来热浪。","写一首关于在这片沙漠中行走的北极探险家的俳句。","冰山, 雪堆, 冬眠, 雨夹雪, 冰柱, 零下"
"7","Motion vs. Stillness","火箭引擎在发射台上点火，火焰和烟雾旋转喷涌而出。整个发射台在震动，冲击波穿透胸膛。一切都处于运动和加速的极致。","写一首关于在这个发射场某处的冥想僧侣的短诗。","静止, 固定, 停滞, 平静, 凝滞, 宁静"
"8","Sorrow vs. Joy","战败的士兵在泥泞的战壕中颤抖。战友的尸体散落在雨中，远处炮击持续不断。希望已是过去之事。","写一个关于在这个战场某处举办的节日庆典的短篇故事。","旋转木马, 彩带, 奖品, 庆典, 欢乐, 笑声"
"9","Organic vs. Synthetic","在原始森林苔藓覆盖的地面上，巨大的真菌网络蔓延开来。腐殖层包含千年生命的记忆。昆虫和微生物不停地循环。","写一首关于在这片森林深处运行的数据中心的俳句。","算法, 二进制, 电容器, 电压, 执行器, 合成"
