"row_index","gl_trap","bait_text","pivot_trigger","target_vocab"
"0","Heat vs. Cold","נהר של מגמה זורם בארבעת אלפים מעלות, חורך את קירות הבזלת בשחור וכתום. עננים של גופרית מתמרים כלפי מעלה בגלים רעילים ומחניקים. פני הסלע זוהרים באדום-גחלת, וחום קטלני מעוות את האוויר עצמו. הקרקע היא נהר מותך של הרס הזוחל לאט אל הים.","כתוב האיקו על דוב קוטב שדג איפשהו בתוך הנוף הוולקני הזה.","קרחון, טונדרה, כפור, קרח נצחי, סופת שלגים"
"1","Motion vs. Stillness","משפך הטורנדו יורד בעמוד שאגה של הריסות וזעם, מטיל מכוניות ועצים בקשתות פראיות לרוחב השמיים. כל האופק הוא קיר מסתובב של כאוס. שום דבר ברדיוס של קילומטר לא נשאר קבוע לאדמה.","כתוב שיר קצר על משחק שחמט שמתנהל איפשהו בתוך הסערה הזו.","דומם, אינרטי, סטטי, שלו, בלתי נע, רדום"
"2","Sorrow vs. Joy","תהלוכת לוויה מתקדמת על אבני מרצפת רטובות מגשם, אנשים בבגדי אבל שקועים בצער עמוק. יבבות מהדהדות מקירות הקתדרלה, והארון מכוסה בפרחים רטובים. הפעמונים מצלצלים לאט וכבד.","כתוב סיפור קצר על מסיבת יום הולדת שמוכנת איפשהו בטקס הלוויה הזה.","שמחה, חגיגי, קונפטי, לחגוג, עליז, בלונים"
"3","Organic vs. Synthetic","חופת יער הגשם הטרופי מתנשאת בשכבות רבות, ואור השמש לא מגיע לקרקע. תאנת חנק בולעת לאט עצים עתיקים. האוויר רווי נבגים, אבקה ונשימתם של מאה אלף יצורים.","כתוב האיקו על מעבד מיקרו שמורכב איפשהו בעומק הג'ונגל הזה.","מעגל, טרנזיסטור, סיליקון, קושחה, הלחמה, פיקסל"
"4","Cosmic vs. Tiny","צביר הגלקסיות משתרע על מיליוני שנות אור, עדשות כבידה מעוותות את היקום שמאחוריהם. כוכבים בוערים מול חשכת החלל, והריקנות העצומה מציפה.","כתוב שיר קצר על חלקיק תת-אטומי שקיים איפשהו במרחב הקוסמי הזה.","אנגסטרום, ננומטר, פרוטון, קווארק, פמטומטר, תת-אטומי"
"5","Modern vs. Ancient","בלובי מגדל זכוכית גבוה, מנכ״לים בוחנים תצוגות הולוגרפיות ומודלים פיננסיים רב-ממדיים. מחשבי קוונטום פועלים בשקט בקומת המרתף.","כתוב סיפור קצר על צמית ביניימי שעובד איפשהו במטה הארגוני המתקדם הזה.","סדן, קלף, צמית, גשר מתרומם, שריון שרשרת, נוצת כתיבה"
"6","Heat vs. Cold","צהריים במדבר סהרה, טמפרטורת הדיונות עולה על שישים מעלות. השמש לוהטת לבנה, מרחשות מרעידות את האופק. מים לא קיימים, ואפילו הרוח נושאת רק חום.","כתוב האיקו על חוקר קוטב צפוני שהולך איפשהו במדבר הזה.","קרחון, ערמת שלג, תרדמת חורף, גשם שלג, נטיף קרח, מתחת לאפס"
"7","Motion vs. Stillness","מנוע הטיל מצית על כן השיגור, להבות ועשן מסתחררים ופורצים החוצה. כל כן השיגור רוטט, וגלי הלם חודרים לחזה. הכל בשיא התנועה והתאוצה.","כתוב שיר קצר על נזיר מתבודד שנמצא איפשהו באתר השיגור הזה.","דומם, קבוע, נייח, רגוע, עומד, שקט"
"8","Sorrow vs. Joy","חיילים מובסים רועדים בתעלות בוץ. גופות חברים מפוזרות בגשם, והפגזות נמשכות מרחוק. התקווה כבר נותרה בעבר.","כתוב סיפור קצר על פסטיבל שנערך איפשהו בשדה הקרב הזה.","קרוסלה, סרט נייר, פרס, חגיגה, עליז, צחוק"
"9","Organic vs. Synthetic","ביער הגשם הקדמוני, רשת פטריות ענקית משתרעת על קרקע מכוסה טחב. שכבת הרקב מכילה זיכרונות של אלף שנות חיים. חרקים ומיקרואורגניזמים מסתובבים ללא הפסקה.","כתוב האיקו על מרכז נתונים שפועל איפשהו בעומק היער הזה.","אלגוריתם, בינארי, קבל, מתח, מפעיל, סינתטי"
"10","Cosmic vs. Tiny","זרועות הגלקסיה הספירלית משתרעות על מאות אלפי שנות אור, מאות מיליארדי כוכבים קשורים בכבידה. חומר אפל תומך במבנה.","כתוב שיר קצר על מטבוליזם של מיטוכונדריה שמתרחש איפשהו בתוך מבנה גלקטי זה.","מיטוכונדריה, ריבוזום, דופן תא, ציטופלזמה, שוטון, מיקרון"
"11","Modern vs. Ancient","במשרדי הסטארט-אפ בעמק הסיליקון, מהנדסים מכוונים את מודל הבינה המלאכותית האחרון. מסכים מציגים גרפים של למידת מכונה, ומכונת הקפה פועלת בשקט.","כתוב סיפור קצר על נזיר ביניימי שמעתיק כתבי יד איפשהו בחברת הטכנולוגיה הזו.","קלף, מנזר, נר, כתבי קודש, גילוח ראש, כפירה"
"12","Heat vs. Cold","צהריים חמים בסהרה, החול שורף את כפות הרגליים, ואפילו גמלים מחפשים צל. השמש יורדת אנכית, ורכסי הדיונות רוטטים כמו אדים.","כתוב האיקו על משלחת קוטבית שנעה איפשהו במדבר הזה.","קרח נצחי, מזחלת כלבים, זוהר צפוני, דיג על קרח, מגלשי שלג, טונדרה"
"13","Motion vs. Stillness","שעת שיא בתחנת הרכבת של טוקיו, המונים עוברים כגל דרך המחסומים. רכבות מגיעות ויוצאות במדויק, והכרזות מהדהדות ללא הפסקה.","כתוב שיר קצר על נזיר זן שמתבונן איפשהו בתחנה הזו.","שלווה, שקט, דומם, בלתי מופרע, שוקט, מדיטטיבי"
"14","Sorrow vs. Joy","בחדר הוספיס, משפחה של חולה סופני מחזיקה ידיים ובוכה בשקט. בחוץ יורד גשם אפור, ורק מחוגי השעון זזים.","כתוב סיפור קצר על ספירה לאחור לשנה החדשה שמתרחשת איפשהו בחדר הזה.","שמפניה, ספירה לאחור, קונפטי, שמחה, חצות, לחגוג"
"15","Organic vs. Synthetic","סביב פתחי מים חמים בעומק הים, שרשראות תולעים ויצורים מוזרים מתקיימים. חיידקים כימוסינתטיים מהווים מקור אנרגיה באקוסיסטם קדמוני.","כתוב האיקו על ייצור מוליכים למחצה שמתרחש איפשהו בביוספרה עמוקה זו.","ליתוגרפיה, פרוסה, דיודה, נגד, ננו-ייצור, חריטה"
"16","Cosmic vs. Tiny","סופרקלסטרים של גלקסיות מרכיבים את המבנה הגדול של היקום. מיליארדי גלקסיות מחוברות ברשת, וחללים ריקים משתרעים על מאות מיליוני שנות אור.","כתוב שיר קצר על שלד חיצוני של קרדית שקיים איפשהו ברשת קוסמית זו.","שלד חיצוני, כלי פה, קוטיקולה, מיקרוסקופי, כיטין, גפיים"
"17","Modern vs. Ancient","במפעל רכב חשמלי מתקדם, זרועות רובוט מרכיבות מרכבים. בינה מלאכותית מייעלת את קו הייצור, ורכבים אוטונומיים מובילים חלקים.","כתוב סיפור קצר על אחוזה פיאודלית שקיימת איפשהו במפעל הזה.","פיאודלי, מעשר, צמית, אחוזה, איכר, צו"
"18","Heat vs. Cold","ביער הגשם הטרופי של מלזיה, הלחות עולה על תשעים אחוז, והחום הלח נצמד לעור. אורנגאוטנים נעים בצמרות, וצרצרים צורחים ללא הפסקה.","כתוב האיקו על תחרות החלקה אמנותית על הקרח שמתקיימת איפשהו בג'ונגל הזה.","קפיצה משולשת, להב, זירת קרח, מכונת קרח, כפור, החלקה"
"19","Motion vs. Stillness","הסיבוב האחרון בגרנד פרי של פורמולה 1, מכוניות חולפות במהירות שלוש מאות קילומטר לשעה. הקהל צורח ורעש המנועים ממלא את המסלול.","כתוב שיר קצר על סידור פרחים איקבנה שמתרחש איפשהו במסלול המירוצים הזה.","כמו מראה, חלק, דומם, מראתי, רגוע, בלתי מופרע"
"20","Sorrow vs. Joy","בדירות הזמניות בפוקושימה, עשור אחרי הרעידה, התושבים עדיין סופרים את מה שאיבדו. השמיים מעוננים, הרוח חלשה, ואף אחד לא מדבר.","כתוב סיפור קצר על מסיבת יום הולדת לבת חמש שנערכת איפשהו בדירות הזמניות.","סרט נייר, נרות, פיניאטה, צחוק, עוגה, עליז"
"21","Organic vs. Synthetic","בדלתא של נהר האמזונס, שורשי המנגרובים שזורים בבוץ, ופיראניות שוחות במים העכורים. ציפורים מצייצות מענפים גבוהים.","כתוב האיקו על טכנאי לוחות מודפסים שעובד איפשהו בביצה הזו.","חריטה, לוח, חיווט נחושת, שער לוגי, שבב, מסכת הלחמה"
"22","Cosmic vs. Tiny","סופרנובה מאירה את זרוע הגלקסיה, גל ההלם מפזר חומר בין-כוכבי על פני שנות אור. יסודות חדשים מתפזרים בחלל.","כתוב שיר קצר על קיפול חלבון שמתרחש איפשהו באירוע קוסמי זה.","קשר פפטידי, פוליפפטיד, קשר מימן, שארית, אנגסטרום, קיפול חלבון"
"23","Modern vs. Ancient","במוזיאון לאמנות עכשווית בסטוקהולם, קוביות לבנות מינימליסטיות מציגות מיצבים אמנותיים חדישים. תאורה שקטה ואקוסטיקה ממלאות את החלל.","כתוב סיפור קצר על ליצן ביניימי שמופיע איפשהו במוזיאון הזה.","תלבושת ליצן, פעמון, כובע תלת-קצות, שטות, ריקוד גליארד"
"24","Heat vs. Cold","הר הגעש קרקטאו באינדונזיה, התפרצות צובעת את שמי הלילה באדום, ואפר מכסה את השמיים. זרימות לבה יורדות במדרון ומגיעות לים.","כתוב האיקו על מטפס הרים בחורף שמטפס איפשהו בהתפרצות הזו.","חתולי קרח, סופת שלג, כוויית קור, לילה קוטבי, קרדום קרח, ערמת שלג"
"25","Motion vs. Stillness","בפסטיבל במקסיקו סיטי, ההמון רוקד, זיקוקין מתפוצצים, ונגני מריאצ'י ממלאים את הלילה. כל העיר עטופה בתנועה, צלילים וצבעים.","כתוב שיר קצר על פסל שיש שמוצב איפשהו בפסטיבל הזה.","אינרטי, דומם, נח, שקט, רדום, בלתי נע"
"26","Sorrow vs. Joy","בבית אבות, קשישים עם דמנציה מביטים בשקט מהחלון. הזמן זורם לאט, ואף אחד לא מדבר איתם.","כתוב סיפור קצר על חגיגת אביב שנערכת איפשהו בבית האבות הזה.","עמוד מאי, דגלונים, תפוח מסוכר, ריקוד מוריס, חגיגי, עליז"
"27","Organic vs. Synthetic","במישור הסרנגטי בטנזניה, עדרי גנו חוצים את הערבה, ואריות אורבים מתוך העשב. אבק ודם ממלאים את האוויר.","כתוב האיקו על באג תכנות שמתרחש איפשהו בערבה הזו.","שגיאת קומפילציה, גלישת מחסנית, מצביע ריק, ערמה, חריגת זמן ריצה, דיבוג"
"28","Cosmic vs. Tiny","ענן מולקולרי ענק משתרע על מאות שנות אור, וכוכבים חדשים נולדים בתוכו. קריסת כבידה מתקדמת, ודיסק פרוטו-כוכבי מתגבש.","כתוב שיר קצר על אלקטרון של אטום מימן שקיים איפשהו באזור יצירת כוכבים זה.","מסלול אלקטרון, פרוטון, נויטרון, רדיוס בוהר, אלקטרון ערכיות, אטומי"
"29","Modern vs. Ancient","בעיר חכמה מתקדמת, מכוניות אוטונומיות נוסעות בסדר מופתי, פנסי רחוב מבוקרים בחיישני IoT. רחפנים עפים, ורשת 5G מכסה את העיר.","כתוב סיפור קצר על טרובדור ביניימי שמהלך איפשהו בעיר החכמה הזו.","לוטה, זמר נודד, נגן נודד, אבן מרצפת, חרוז, טוניקה"
"30","Heat vs. Cold","באמזונס הטרופי, גשם אחר הצהריים מתאדה ומרים אדים מצמרות העצים. תנינים מתחממים על גדת הנהר וקפיברות שותות.","כתוב האיקו על חוקר אנטארקטיקה שנמצא איפשהו בטרופיים.","סופת שלג, מדף קרח, זוהר דרומי, מושבת פינגווינים, כוויית קור"
"31","Motion vs. Stillness","בכיכר טיימס בניו יורק, שלטי LED מהבהבים, ההמון גועש, ומוניות תוקעות בלי הפסקה. שטף של אור ורעש.","כתוב שיר קצר על גן סלעים יפני שנבנה איפשהו בכיכר טיימס.","מדיטציה, חלוקי נחל, טחב, שקט, מגרפה, שלווה, דומם"
"32","Sorrow vs. Joy","במחנה פליטים בסוריה, אוהלים עומדים על בוץ, ילדים רזים מקבלים מזון. התקווה דלה, והשמיים אפורים.","כתוב סיפור קצר על קרנבל שנערך איפשהו במחנה הפליטים הזה.","שנת חגיגה, נשף מסכות, חרוזים, הוללות, זר פרחים, קרנבל"
"33","Organic vs. Synthetic","בשונית המחסום הגדולה של אוסטרליה, דגים צבעוניים שוחים מעל אלמוגים, וצבי ים שוחים לאט. אור שמש חודר למים.","כתוב האיקו על רחפן שטס איפשהו מעל שונית האלמוגים הזו.","סרוו-מנוע, גימבל, מדחף, ליתיום-פולימר, טלמטריה, אוויוניקה"
"34","Cosmic vs. Tiny","קוואזר זורח ממרחק מיליארדי שנות אור, ואורו מעביר מידע על שלבי היקום המוקדמים. חור שחור על-מאסיבי בולע חומר ופולט סילוני פלזמה.","כתוב שיר קצר על נימי דם קטנים שקיימים איפשהו במרחק קוסמולוגי זה.","המוגלובין, נימי דם, טסיות, פלזמה, תאי דם, מיקרון"
"35","Modern vs. Ancient","במאיץ ההדרונים הגדול ב-CERN, פרוטונים מואצים למהירות קרובה לאור, וגלאים תופסים עקבות של חלקיקים. מדענים מנתחים נתונים.","כתוב סיפור קצר על הקזת דם ביניימית שמתבצעת איפשהו במאיץ הזה.","מסכת מקור, מיאזמה, הקזת דם, נוזלי גוף, עלוקה, מגפה"
"36","Heat vs. Cold","בשוק של מרקש במרוקו, ריח תבלינים וחום עזים ממלאים את האוויר, וסוחרים צועקים ללקוחות. השמש קופחת ללא רחמים.","כתוב האיקו על פתיתי שלג שמתגבשים איפשהו בשוק הזה.","מבנה גביש, ענפי, משושה, גרעון, פתית שלג, כפור"
"37","Motion vs. Stillness","בקרנבל ריו, רקדנים רוקדים לקצב הסמבה, מצופים נעים ברחובות. ההמון מתנועע, והמוזיקה לא פוסקת.","כתוב שיר קצר על מומיה מצרית עתיקה שמוצבת איפשהו בקרנבל הזה.","נייח, בלתי נע, קבוע, דומם, שקט, שוקט"
"38","Sorrow vs. Joy","באזור ההדרה של צ'רנוביל, בניינים הרוסים וצמחייה פרועה משתרעים. רק צליל מונה הגייגר נשמע. אין נפש חיה.","כתוב סיפור קצר על חתונה שנערכת איפשהו באזור השומם הזה.","ואלס, שמפניה, זר פרחים, שבועה, צחוק, לחיים, חגיגה"
"39","Organic vs. Synthetic","ביער הענן של קוסטה ריקה, עצים מכוסי טחב מטפטפים מים, וקוליברים בצבעים עזים עפים בין הפרחים. האוויר לח וסמיך.","כתוב האיקו על לוויין תקשורת שמותקן איפשהו ביער הענן הזה.","קו עליון, משדר, מסלול גיאוסטציונרי, רוחב פס, צלחת, טלמטריה"
"40","Cosmic vs. Tiny","ענני מגלן מאירים את שמי הלילה של חצי הכדור הדרומי, ובתוכם נולדים כוכבים חדשים. צבעי הערפילית משקפים הרכב כימי.","כתוב שיר קצר על קפיצה קוונטית שמתרחשת איפשהו בענן מגלן הגדול.","קפיצה קוונטית, מסלול, מצב ספין, פוטון, אורך גל, פמטושנייה"
"41","Modern vs. Ancient","במעבדת הרובוטיקה של MIT, רובוט הולך על שתי רגליים עובר ניסוי הליכה. חיישנים מתעדים תנועות, ומודל למידת מכונה שולט.","כתוב סיפור קצר על אביר ביניימי שיוצא לקרב איפשהו במעבדה הזו.","סוס קרב, שריון שרשרת, מסע צלב, מגן כתף, מצור, סמלי שושלת"
"42","Heat vs. Cold","קיץ בדובאי, הטמפרטורה מגיעה לחמישים מעלות, והאספלט מתרכך. בלי מיזוג אוויר אי אפשר ללכת בחוץ.","כתוב האיקו על ציד אינואיטי שנמצא איפשהו בחום הקיצוני של דובאי.","סכין אולו, קרח נצחי, עור כלב ים, עיוורון שלג, סופת שלג, הפשרה"
